bins	DG_001_EKDN220039120_1A_HCHH2DSX5_L1	DG_002_EKDN220039121_1A_HCHH2DSX5_L1	DG_003_EKDN220039122_1A_HCHH2DSX5_L1	DG_004_EKDN220039123_1A_HCHH2DSX5_L1	PW_001_EKDN220039127_1A_HCHH2DSX5_L1	PW_002_EKDN220039128_1A_HCHH2DSX5_L1	PW_003_EKDN220039129_1A_HCHH2DSX5_L1	SZ_001_EKDN220039124_1A_HCHH2DSX5_L1	SZ_003_EKDN220039126_1A_HCHH2DSX5_L1	WG_001_EKDN220039117_1A_HCHH2DSX5_L1	WG_002_EKDN220039118_1A_HCHH2DSX5_L1	WG_003_EKDN220039119_1A_HCHH2DSX5_L1	W_001_EKDN220039130_1A_HCHMYDSX5_L1	W_003_EKDN220039132_1A_HCHH2DSX5_L1	merged_SZ_002
DG_ZS_MAG_00001	6.54115490839832	3.034584175099148	3.3008002960917664	14.954369508568394	39.25630682988201	38.230346464309925	45.069370510819866	0.5939167782369815	79.25438305435624	0.27313370855621744	0.04650104774616562	0.4674726638475921	6.551760986625929	7.829028212865898	0.0016514915075435672
DG_ZS_MAG_00003	3.6574592205400758	9.130287349295418	3.4926556450981794	29.3857722566273	79.1028268170396	88.09853491656402	106.07269634449052	0.5543235515358075	25.028458383102873	0.6501840718719966	0.08811276410811546	0.3207050291070001	9.883614052569445	18.812691170036512	0.009376121816339188
DG_ZS_MAG_00008	35.32904745241213	13.67597462652403	31.095078250573863	82.63893675934843	128.48276481345184	137.01322102554633	130.50940494598427	4.254810619294477	144.25107564945918	1.7813735645049267	0.7931108003694906	2.205576875070568	41.26752285291066	67.19703695941908	0.07142979217698787
PW_ZS_MAG_00001	0.044322558033551354	0.037953225134780416	0.1507319908910295	0.0706552150820751	2.8992740258569305	8.354429957861715	10.92231553931287	0.16636009903251395	10.817037184905717	0.04289187009297367	0.009239128718762465	0.018513691346793777	1.7904273715371686	1.2145203950214305	0.00041187534140220747
PW_ZS_MAG_00003	0.05153836885745654	0.09498241018391666	0.15815903644992121	0.374217235007629	4.6871180953350375	5.679624376670305	4.352350450209967	0.14950382904381407	6.3928735018535	0.07935827032955847	0.00880477537280335	0.04427705180764313	1.5369451054402232	1.886020640379404	0.0004681788957521659
PW_ZS_MAG_00004	0.007158826191661886	0.033980205947751696	0.01442928435956546	0.08775862669207588	9.385064095675038	5.391810829588302	12.549382202154534	0.0056260623958416895	0.27980819734414286	0.003834085367053506	0.0005990285369172622	0.0014462963159177359	257.48282437981817	247.87545447458803	0.0008917313627577563
PW_ZS_MAG_00008	4.3442548559287575	1.3211389300562646	0.7787390979317219	32.11457552428292	64.53698899628837	49.66921242802996	20.799441289493355	0.7954353613912678	35.012294254200164	0.32919327973559614	0.06307343239734023	0.3359103964746154	0.4406137946411006	0.35867011161094864	0.007362912639185804
PW_ZS_MAG_00011	0.002263810231529505	0.0009372096581797032	0.06999010037425826	0.23856102895238965	0.1634760451882831	2.349386282381963	35.383005952456436	0.03305460518584835	0.30195143519211276	0.0012151769462993914	0.00011209994648622464	0.0322709200395985	1.1100424136826186	0.39775394315366064	0.0001337421684322831
PW_ZS_MAG_00014	0.00041856932474965976	0.004375109112810526	0.0019092589389055684	0.0010480128156390217	0.5563461865023049	1.8792525517496066	5.7491164345947015	0.0038794488554645683	0.018593485206885835	0.0006943482279549736	0.00045115415192953834	0.0	1.3469288005631082	2.3173105172430692	7.947518824360628e-05
PW_ZS_MAG_00015	0.027156132193593363	0.06183996264035248	0.07672047268075775	0.28752878114149966	2.7317699133012527	3.931461290126089	3.3156348771260142	0.05986856442847184	3.5327190649259235	0.07331316453811429	0.011408770041894242	0.036047457581233545	2.224384208780871	2.1971907169397578	0.0037148484294735134
