contig	DG_001_EKDN220039120_1A_HCHH2DSX5_L1	DG_002_EKDN220039121_1A_HCHH2DSX5_L1	DG_003_EKDN220039122_1A_HCHH2DSX5_L1	DG_004_EKDN220039123_1A_HCHH2DSX5_L1	PW_001_EKDN220039127_1A_HCHH2DSX5_L1	PW_002_EKDN220039128_1A_HCHH2DSX5_L1	PW_003_EKDN220039129_1A_HCHH2DSX5_L1	SZ_001_EKDN220039124_1A_HCHH2DSX5_L1	SZ_003_EKDN220039126_1A_HCHH2DSX5_L1	WG_001_EKDN220039117_1A_HCHH2DSX5_L1	WG_002_EKDN220039118_1A_HCHH2DSX5_L1	WG_003_EKDN220039119_1A_HCHH2DSX5_L1	W_001_EKDN220039130_1A_HCHMYDSX5_L1	W_003_EKDN220039132_1A_HCHH2DSX5_L1	merged_SZ_002
p_00003170	0.08256880733944955	0.05504587155963303	0.09375	0.09673726388093876	0.10158543746330007	0.10096670247046187	0.11040339702760085	0.0	0.10390428211586902	0.0	0.0	0.0	0.07208872458410351	0.10441767068273092	0.0
p_00003171	0.07726597325408618	0.050595238095238096	0.075	0.09425543781372002	0.10830945558739255	0.09690721649484536	0.08910386965376782	0.0	0.08852258852258853	0.0	0.0	0.0	0.08992805755395683	0.05597964376590331	0.0
p_00003172	0.09029649595687332	0.0653950953678474	0.07750759878419453	0.10355177588794397	0.12115093387178193	0.11192998618148318	0.10077519379844961	0.0	0.10133333333333333	0.0	0.11904761904761904	0.0	0.09950248756218906	0.0753045404208195	0.0
p_00003173	0.0641025641025641	0.0	0.05218617771509168	0.0760180995475113	0.07775175644028103	0.07306122448979592	0.0628594905505341	0.0	0.06385068762278978	0.0	0.0	0.0	0.06050955414012739	0.0	0.0
p_00003186	0.15228426395939088	0.0732484076433121	0.1154562383612663	0.15136876006441224	0.18070953436807094	0.16453831041257366	0.14450867052023122	0.0	0.16856628674265148	0.0	0.0	0.0	0.10337972166998012	0.11072664359861592	0.0
p_00003187	0.13917525773195877	0.06840390879478828	0.11132075471698114	0.13423180592991915	0.1441291040623261	0.13161801088570016	0.11215440792905582	0.0	0.11694510739856802	0.0	0.0	0.0	0.08582834331337326	0.08323699421965318	0.0
p_00003188	0.12131715771230503	0.06229508196721312	0.07915057915057915	0.11907386990077178	0.12249570692615913	0.11962432031636185	0.10062893081761007	0.0	0.10694864048338369	0.0	0.0	0.0	0.07966457023060797	0.06595995288574794	0.0
p_00003189	0.12302284710017575	0.07236842105263158	0.0905587668593449	0.12720264317180616	0.12903225806451613	0.1309055118110236	0.10452418096723869	0.0	0.1212856276531231	0.0	0.0	0.0	0.09433962264150944	0.06941176470588235	0.0
p_00003190	0.11091549295774648	0.0594059405940594	0.07707129094412331	0.11123348017621146	0.11507479861910241	0.10779029887310142	0.08711528429838289	0.0	0.10651247717589775	0.0	0.0	0.0	0.0794979079497908	0.06455399061032864	0.0
p_00003191	0.1519434628975265	0.08169934640522876	0.1286549707602339	0.15538290788013318	0.1867435158501441	0.16316560820713238	0.1496103896103896	0.0	0.17596034696406443	0.0	0.0	0.0	0.12684989429175475	0.11737629459148446	0.0
p_00003193	0.051188299817184646	0.0	0.07254901960784314	0.0	0.0	0.0	0.05638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00003194	0.18164794007490637	0.09574468085106383	0.1673469387755102	0.1755900978698906	0.18907809747504403	0.19187469407733726	0.16533758639021798	0.0	0.20064102564102565	0.0	0.0	0.0	0.14193548387096774	0.1348314606741573	0.0
p_00003195	0.19305019305019305	0.07885304659498207	0.16393442622950818	0.17592592592592593	0.19326241134751773	0.17542997542997543	0.1629032258064516	0.0	0.19112850619699934	0.0	0.0	0.0	0.12017167381974249	0.13325740318906606	0.0
p_00003196	0.15384615384615385	0.054945054945054944	0.14343434343434344	0.13591095489162272	0.13007651559741024	0.11836337067705796	0.10950854700854701	0.0	0.13151041666666666	0.0	0.0	0.0	0.09327548806941431	0.08665906499429875	0.0
p_00003197	0.06374501992031872	0.0	0.0	0.0	0.06547251389746757	0.06069802731411229	0.06900389538119088	0.0	0.0784313725490196	0.0	0.0	0.0	0.057777777777777775	0.05460750853242321	0.0
p_00003198	0.05489260143198091	0.0	0.0	0.06219426974143955	0.06778476589797344	0.06670500287521564	0.07725321888412018	0.0	0.08848207475209764	0.0	0.0	0.0	0.0	0.05995203836930456	0.0
p_00003199	0.05515587529976019	0.0	0.0	0.0	0.060801144492131615	0.05667060212514758	0.06342364532019705	0.0	0.0797498045347928	0.0	0.0	0.0	0.0	0.0	0.0
p_00003200	0.050970873786407765	0.0	0.0	0.0	0.06580829756795423	0.051492100643651256	0.06642066420664207	0.0	0.08133230054221534	0.0	0.0	0.0	0.0	0.0539568345323741	0.0
p_00003201	0.0625	0.0	0.0	0.05010438413361169	0.06405693950177936	0.060093348891481914	0.06575682382133995	0.0	0.08326848249027237	0.0	0.0	0.0	0.0	0.05282112845138055	0.0
p_00003202	0.05938242280285035	0.0	0.0	0.0520471894517696	0.06794055201698514	0.05632183908045977	0.06346272335181762	0.0	0.07739938080495357	0.0	0.0	0.0	0.0	0.052878965922444184	0.0
p_00003203	0.061274509803921566	0.0	0.0	0.0	0.0755939524838013	0.071976401179941	0.06467661691542288	0.0	0.07445141065830721	0.0	0.0	0.0	0.06290672451193059	0.06529625151148731	0.0
p_00003204	0.06666666666666667	0.0	0.05699481865284974	0.06353790613718412	0.08227848101265822	0.09074941451990633	0.08538083538083538	0.0	0.09260700389105059	0.0	0.0	0.0	0.06971677559912855	0.07485380116959064	0.0
p_00003205	0.05995203836930456	0.0	0.0	0.0	0.0687719298245614	0.06341749853200235	0.06996904024767801	0.0	0.06998444790046657	0.0	0.0	0.0	0.06373626373626373	0.059788980070339975	0.0
p_00003206	0.05250596658711217	0.0	0.0	0.05304101838755304	0.07871321013004791	0.07724056603773585	0.08926417370325694	0.0	0.07621951219512195	0.0	0.0	0.0	0.06329113924050633	0.07502930832356389	0.0
p_00003207	0.06521739130434782	0.0	0.0	0.05218617771509168	0.07240437158469945	0.07354685646500593	0.08469449485783424	0.0	0.06920152091254753	0.0	0.0	0.0	0.059447983014861996	0.07981220657276995	0.0
p_00003208	0.06763285024154589	0.0	0.0	0.06657323055360898	0.09084699453551913	0.08293838862559241	0.09090909090909091	0.0	0.07710100231303008	0.0	0.0	0.0	0.0625	0.08675263774912075	0.0
p_00003209	0.05581395348837209	0.0	0.0	0.06433566433566433	0.07751396648044692	0.0856453558504222	0.08247422680412371	0.0	0.0900225056264066	0.0	0.0	0.0	0.07311827956989247	0.07655502392344497	0.0
p_00003217	0.12937062937062938	0.06545454545454546	0.10633484162895927	0.08761528326745718	0.08165680473372781	0.0779896013864818	0.0733652312599681	0.0	0.08647594278283485	0.0	0.0	0.0	0.08370044052863436	0.09115646258503401	0.0
p_00003219	0.12609457092819615	0.05925925925925926	0.12875536480686695	0.10254735467015023	0.0904126213592233	0.0942970073404856	0.08399098083427282	0.0	0.1014964216005205	0.0	0.0	0.0	0.10828025477707007	0.11095700416088766	0.0
p_00003220	0.1431095406360424	0.05415162454873646	0.14782608695652175	0.11715749039692702	0.13048780487804879	0.1252808988764045	0.11837655016910936	0.0	0.1483160621761658	0.0	0.0	0.0	0.14870689655172414	0.125	0.0
p_00003221	0.1103448275862069	0.0	0.12253829321663019	0.08726114649681528	0.08256880733944955	0.08833522083805209	0.07661971830985916	0.0	0.08771929824561403	0.0	0.0	0.0	0.09956709956709957	0.100418410041841	0.0
p_00003222	0.12780656303972365	0.0	0.1282608695652174	0.11241507103150093	0.10634441087613293	0.10927152317880795	0.10580204778156997	0.0	0.12738853503184713	0.0	0.0	0.0	0.1447084233261339	0.10644257703081232	0.0
p_00003223	0.12062937062937062	0.05017921146953405	0.12719298245614036	0.11838006230529595	0.10897049969897651	0.11153846153846154	0.10770975056689343	0.0	0.12823752368919772	0.0	0.0	0.0	0.13390928725701945	0.09847434119278779	0.0
p_00003224	0.10517241379310345	0.0	0.0989010989010989	0.1177899210686096	0.11263408820023837	0.11147362697117999	0.10505836575875487	0.0	0.1221183800623053	0.0	0.0	0.0	0.12473118279569892	0.08732394366197183	0.0
p_00003225	0.06996587030716724	0.0	0.06493506493506493	0.06328358208955225	0.056648777579010136	0.06108108108108108	0.058758314855875834	0.0	0.05813234384662956	0.0	0.0	0.0	0.06932773109243698	0.06406685236768803	0.0
p_00003226	0.0587248322147651	0.0	0.0	0.061794414735591205	0.0761451516954194	0.06143162393162393	0.06894649751792609	0.0	0.08798543689320389	0.0	0.0	0.0	0.07531380753138076	0.057342657342657345	0.0
p_00003227	0.08417508417508418	0.0	0.09594882729211088	0.10400478182904961	0.09838032393521295	0.09433962264150944	0.08885209713024282	0.0	0.11689106487148103	0.0	0.0	0.0	0.12184873949579832	0.07724719101123595	0.0
p_00003228	0.05786618444846293	0.0	0.051224944320712694	0.06704617330803289	0.06713109563014566	0.05074971164936563	0.0576271186440678	0.0	0.08338804990151018	0.0	0.0	0.0	0.06290672451193059	0.06232294617563739	0.0
p_00003229	0.050724637681159424	0.0	0.0	0.05901015228426396	0.06118546845124283	0.0	0.0	0.0	0.07580751483190508	0.0	0.0	0.0	0.06318082788671024	0.05965909090909091	0.0
p_00003230	0.05244755244755245	0.0	0.06490872210953347	0.056592414208308246	0.06062389640965274	0.061530230069555915	0.05032822757111598	0.0	0.05514250309789343	0.0	0.0	0.0	0.0603448275862069	0.058902275769745646	0.0
p_00003231	0.08545454545454545	0.0	0.07272727272727272	0.08405977584059776	0.09196811771919068	0.0812603648424544	0.07034327518289252	0.0	0.10864197530864197	0.0	0.0	0.0	0.09030837004405286	0.0785413744740533	0.0
p_00003232	0.06072106261859583	0.0	0.06666666666666667	0.06337135614702155	0.059486537257357544	0.05378831694621168	0.0	0.0	0.0661049902786779	0.0	0.0	0.0	0.07390300230946882	0.06743185078909612	0.0
p_00003233	0.09297912713472485	0.0	0.09959349593495935	0.1125158027812895	0.12058080808080808	0.10492753623188406	0.09800469483568075	0.0	0.13206307490144548	0.0	0.0	0.05303030303030303	0.10722610722610723	0.0951683748169839	0.0
p_00003826	0.05539772727272727	0.0	0.0	0.059149722735674676	0.06068204613841525	0.0	0.05453644025780863	0.0	0.06575682382133995	0.0	0.0	0.0	0.0	0.0	0.0
p_00003827	0.050734312416555405	0.055900621118012424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050913838120104436	0.0	0.0
p_00003828	0.08476658476658476	0.08052434456928839	0.10107816711590296	0.08191808191808192	0.07413577675968347	0.07324058919803601	0.06878088962108732	0.07792207792207792	0.06329760081674324	0.0	0.0	0.08585858585858586	0.07781649245063879	0.08604483007953724	0.0
p_00003829	0.05548854041013269	0.054003724394785846	0.056578947368421055	0.07011605415860735	0.07084690553745929	0.055445544554455446	0.06463267763950221	0.0	0.07593052109181142	0.0	0.0	0.0	0.0	0.0	0.0
p_00003830	0.0712962962962963	0.07256894049346879	0.07445708376421924	0.07094594594594594	0.08456729187232642	0.08731117824773414	0.07673112913287586	0.0	0.09224806201550388	0.0	0.0	0.0	0.10233393177737882	0.12848209209778283	0.0
p_00003831	0.17747747747747747	0.21418439716312057	0.18429003021148035	0.15964192465497948	0.15450361604207757	0.13802315227070347	0.1427258805513017	0.17027027027027028	0.1483050847457627	0.16872427983539096	0.14173228346456693	0.14930555555555555	0.1791304347826087	0.12699285321605278	0.0
p_00003832	0.21689895470383275	0.22602739726027396	0.24783027965284474	0.13908450704225353	0.15642994241842612	0.17614942528735633	0.18189705031810294	0.17166212534059946	0.22536850271528316	0.11570247933884298	0.08527131782945736	0.10367892976588629	0.31833616298811546	0.288153681963714	0.16
p_00003833	0.19262672811059908	0.228310502283105	0.22832980972515857	0.15602322206095792	0.16286098052384151	0.1678649577993123	0.17416413373860182	0.1416184971098266	0.20663900414937758	0.13135593220338984	0.12142857142857143	0.12121212121212122	0.27696526508226693	0.24185532854776368	0.0
p_00003834	0.32723358449946177	0.356401384083045	0.34823529411764703	0.2346774193548387	0.25353728489483746	0.2591279688053882	0.24983142279163856	0.31189710610932475	0.27733458470201783	0.24242424242424243	0.19310344827586207	0.20610687022900764	0.41007194244604317	0.3595505617977528	0.21739130434782608
p_00003835	0.21456953642384105	0.20046620046620048	0.19504643962848298	0.1512645914396887	0.14959504525964745	0.14784125599651113	0.14267938614682704	0.164	0.156737998843262	0.1278538812785388	0.10218978102189781	0.1559633027522936	0.1936619718309859	0.17310344827586208	0.0
p_00003836	0.21296296296296297	0.20232558139534884	0.1974921630094044	0.14613880742913002	0.14544587505960896	0.13713539399216368	0.14273858921161825	0.16129032258064516	0.1497388276262333	0.1232876712328767	0.09154929577464789	0.16589861751152074	0.1988235294117647	0.1644962302947224	0.0
p_00003837	0.2136181575433912	0.1935483870967742	0.1921259842519685	0.15129331381161543	0.1461100569259962	0.14279569892473118	0.14344430743937525	0.1700404858299595	0.15149769585253456	0.12612612612612611	0.09027777777777778	0.15454545454545454	0.19103773584905662	0.1685082872928177	0.0
p_00003838	0.06702412868632708	0.08222222222222222	0.05901116427432217	0.05913209346685742	0.0	0.05516088591725867	0.05347808604744672	0.0	0.05293440736478711	0.0	0.0	0.0	0.0	0.05130007027406887	0.0
p_00003839	0.18609022556390978	0.21179624664879357	0.17634854771784234	0.11057108140947752	0.12062256809338522	0.1318295739348371	0.12481203007518797	0.16161616161616163	0.16929133858267717	0.14432989690721648	0.11450381679389313	0.14146341463414633	0.2626112759643917	0.23853211009174313	0.0
p_00003840	0.13114754098360656	0.1005586592178771	0.10476190476190476	0.07926167209554831	0.09739900387382401	0.10217290799815072	0.11228716060745512	0.11374407582938388	0.09022038567493113	0.12206572769953052	0.0	0.11711711711711711	0.11042944785276074	0.10239852398523985	0.0
p_00003846	0.10802775024777007	0.09766763848396501	0.10151187904967603	0.08678756476683938	0.07131960335621663	0.08114992721979622	0.07437433909058865	0.08387096774193549	0.0814006366530241	0.060836501901140684	0.0	0.05154639175257732	0.087248322147651	0.08797850906648758	0.0
p_00003849	0.13031674208144797	0.12336719883889695	0.12717391304347825	0.12832929782082325	0.10849393290506781	0.1183591123066577	0.10935302390998594	0.11782477341389729	0.12404418011894647	0.13257575757575757	0.10884353741496598	0.09180327868852459	0.14198071866783524	0.12307692307692308	0.0
p_00003850	0.08130081300813008	0.07446808510638298	0.09040793825799338	0.07345971563981042	0.07843839541547278	0.07145253270714526	0.06076388888888889	0.09090909090909091	0.08086702792830346	0.07407407407407407	0.0	0.06312292358803986	0.07142857142857142	0.0693127962085308	0.0
p_00003851	0.07208029197080291	0.07587253414264036	0.06406080347448426	0.0889498432601881	0.09068189932167083	0.08349966733200266	0.08542886668963141	0.0	0.08485856905158069	0.0	0.0	0.0	0.06570657065706571	0.05626450116009281	0.0
p_00003852	0.0792520035618878	0.07669172932330827	0.07291666666666667	0.09279141104294479	0.09785286870820134	0.08478964401294499	0.08617234468937876	0.0	0.09210526315789473	0.0	0.0	0.0	0.06952789699570816	0.06057206954570948	0.0
p_00003853	0.10238305383936452	0.08520179372197309	0.1113423517169615	0.10704761904761904	0.09457092819614711	0.10667096358362875	0.10033333333333333	0.09815950920245399	0.0961380443714051	0.125	0.10948905109489052	0.10508474576271186	0.11271186440677966	0.09404563160823595	0.0
p_00003854	0.24487978628673196	0.2459016393442623	0.24868282402528977	0.13957863054928518	0.15333796940194716	0.17358857884490592	0.1665551839464883	0.13564668769716087	0.1893877551020408	0.14487632508833923	0.11940298507462686	0.15734265734265734	0.28030954428202925	0.2754491017964072	0.0
p_00003855	0.23717948717948717	0.2553191489361702	0.240625	0.1395261376457315	0.15510761872224121	0.17547770700636942	0.17031872509960158	0.15170278637770898	0.18673023440603895	0.14338235294117646	0.12142857142857143	0.1494661921708185	0.28949691085613416	0.27880434782608693	0.0
p_00003856	0.25339805825242717	0.24813153961136025	0.2528263103802672	0.13954331279449075	0.16655382532159782	0.1808609476618148	0.18387507966857872	0.16300940438871472	0.19725490196078432	0.14074074074074075	0.13245033112582782	0.15413533834586465	0.3076923076923077	0.2736156351791531	0.0
p_00003857	0.11318897637795275	0.1156773211567732	0.12564366632337795	0.10481481481481482	0.1233631977946244	0.11807304785894207	0.11880867594690839	0.0660377358490566	0.12374042724707779	0.06741573033707865	0.07096774193548387	0.0749063670411985	0.1208695652173913	0.11171662125340599	0.0
p_00003858	0.05812807881773399	0.06515151515151515	0.06172839506172839	0.07509293680297398	0.0698554714384033	0.07012578616352201	0.06247976691485918	0.0	0.07220653489310205	0.0	0.0	0.0	0.0	0.0	0.0
p_00003859	0.06772908366533864	0.06838905775075987	0.061076604554865424	0.07634730538922156	0.07290233837689133	0.07026348808030113	0.06679700228087325	0.0	0.07548701298701299	0.0	0.0	0.0	0.0	0.0	0.0
p_00003862	0.3139896373056995	0.3105095541401274	0.2989010989010989	0.21875	0.2370611653999276	0.24671916010498687	0.25153165418652146	0.16891891891891891	0.26706231454005935	0.144	0.14864864864864866	0.1946564885496183	0.3336363636363636	0.32124930284439485	0.0
p_00003863	0.07782515991471216	0.0624	0.06502242152466367	0.05076741440377804	0.051320193380438826	0.0552964690206529	0.05526590198123045	0.0	0.054848617814831066	0.05813953488372093	0.0	0.0	0.08612873980054397	0.07247191011235955	0.0
p_00003868	0.0754985754985755	0.10688836104513064	0.07809847198641766	0.06650485436893204	0.07242339832869081	0.07754237288135593	0.06565014824227022	0.0	0.08043478260869565	0.0	0.0	0.0	0.06349206349206349	0.05040650406504065	0.0
p_00003869	0.09715242881072027	0.08533333333333333	0.10371819960861056	0.07726027397260274	0.07898812596799173	0.09104046242774566	0.09269662921348315	0.0945273631840796	0.08897243107769423	0.0	0.06015037593984962	0.0594059405940594	0.08689248895434462	0.08425531914893616	0.0
p_00003870	0.08062234794908062	0.07888631090487239	0.0	0.05135658914728682	0.0	0.0	0.0	0.0	0.05115511551155116	0.0	0.0	0.0	0.0	0.0	0.0
p_00003871	0.15070422535211267	0.17937219730941703	0.19400630914826497	0.08229066410009625	0.11533242876526459	0.11203319502074689	0.11692913385826771	0.13333333333333333	0.15206878022568512	0.1320754716981132	0.15671641791044777	0.11483253588516747	0.24067388688327315	0.2209119496855346	0.0
p_00003885	0.08928571428571429	0.08369098712446352	0.0812720848056537	0.0686936936936937	0.06701030927835051	0.0637278390033541	0.06531954887218046	0.0	0.06281094527363185	0.0502283105022831	0.0	0.08264462809917356	0.07394366197183098	0.07200647249190939	0.0
p_00003886	0.2701298701298701	0.27360308285163776	0.2854838709677419	0.1535965386695511	0.1750380517503805	0.17491749174917492	0.17099165894346618	0.22932330827067668	0.2309941520467836	0.16143497757847533	0.07751937984496124	0.132	0.3427922814982974	0.3062730627306273	0.0
p_00003887	0.13349514563106796	0.1510791366906475	0.16463414634146342	0.13025641025641024	0.12841253791708795	0.12933753943217666	0.12804097311139565	0.13186813186813187	0.13156440022111665	0.11739130434782609	0.13194444444444445	0.1320754716981132	0.15083798882681565	0.11705202312138728	0.0
